title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Puchero o caldo de res,,"['1\nEn una olla grande se ponen 3 litros de agua, se coloca la carne en varios trozos, junto con el elote y se pone a coser con la cebolla y el ajo y sal al gusto.', '2\nCuando la carne esta ya cosida, se agregan el repollo (col), la papa, las zanahorias, el ejote, el chayote la yerbabuena y el cilantro y se dejan coder por unos 15 minutos mas.', '3\nSe acompaña con sopa de arroz en el mismo plato donde se sirvio el caldo.']","Valoración: 4,2 (49 votos)",5 comensales,45m,Plato principal,Dificultad media,,[],"['½ kilogramo de Pecho de Res', '½ kilogramo de Cuete ó rueda (con tuetano ó medula, 1/2 repollo ó col cortado en 2 partes', '2 unidades de Papas cortadas en 4 partes', '3 unidades de Elotes cortados en trosos', '4 unidades de Zanahorias cortadas en rodajas', '100 gramos de Ejote', '½ unidad de Cebolla', '2 dientes de Ajo', '1 unidad de Chayote cortado en 4 partes', '1 rama de Yerbabuena', '1 manojo de Cilantro']",https://www.recetasgratis.net/receta-de-puchero-o-caldo-de-res-10909.html
Caldo santo,,"['1\nEn una olla profunda, caliente la leche de coco. Aparte, en un mortero, coloque las semillas de achiote y machaquelas hasta lograr el color amarillo. Si usa pasta pues derritala.', '2\nAgregue el achiote, el sazón, los vegetales, la verdura y la sal a la leche de coco caliente coloque a hervir y casi cuando la verdura esté blanda añada el pescado frito.', '3\nDeje hervir hasta que la verdura ablande. Sirva solo o acompañado de arroz blanco.']","Valoración: 3,7 (3 votos)",,,,,,,"['2 lata leche de coco', '3 cucharadas de achiote en grano (puede ser pasta de achiote dos cucharadas)', '4 ajíes dulces picados', '1 0 2 pimientos picados', '2 sobres de condimento con color (sazón)', '2 lbs. de batatas, peladas y picadas', '1 libra de yautía, peladas y picadas', '1 lb. de guineos verdes, pelados y picados', '2 plátanos verdes, pelados y picados', '4 lbs. de pescado frito', 'sal a gusto']",https://www.recetasgratis.net/receta-de-caldo-santo-10624.html
"Sopa de papaya, ajo y queso","La sopa de papaya, ajo y queso suave es ideal para seguir una dieta depurativa y equilibrante. Toma nota de los ingredientes y prepara esta rica sopa casera, ¡te encantará!","['1\nColoca el ajo en una olla de caldo ya preparado o agua y calienta hasta que hierva. Cuando alcance el punto de ebullición, baja el fuego y sigue cocinando manteniendo un hervor leve durante una hora. Si es necesario añade más agua o caldo.', '2\nAgrega la papaya pelada y troceada y sigue cocinando durante media hora más.', '3\nAñade el queso crema y sigue cocinando hasta que se integre por completo. Luego, tritura la sopa con una batidora o procesador de alimentos. Añade sal y pimienta al gusto.', '4\nCuela la sopa de papaya, apio y queso para retirar los grumos y sírvela caliente. Esta receta da para 4 platos grandes o 6 más pequeños. Puedes decorar los platos con el orégano y añadir tostones de pan.']","Valoración: 3,6 (7 votos)",4 comensales,1h 30m,Plato principal,Dificultad baja,,['Recomendada para perder peso'],"['2 sobres de Ajos pelados', '4 tazas de Caldo de pollo', '1 unidad de Papaya madura', '6 onzas de Queso crema', '1 puñado de Hojas de orégano fresco', '1 pizca de Sal y pimienta']",https://www.recetasgratis.net/receta-de-sopa-de-papaya-ajo-y-queso-10566.html
"Fácil, rápida y deliciosa","El ajoporro, también conocido como puerro, es un vegetal con múltiples propiedades y un sabor delicioso. En general, se emplea para potenciar el sabor de las comidas, sin embargo, también puede resultar el protagonista de la receta por su versatilidad y fácil cocinado. Tal es el caso de esta receta, que nos permite, además, aprovecharnos de todas sus vitaminas, cantidad de fibra y minerales. Quédate en RecetasGratis y descubre con nosotros cómo hacer crema de ajoporro fácil, ¡te sorprenderá!","['1\nCorta los ajoporros en rodajas, desechando primero las hojas y las raíces del otro extremo.', '2\nDora el puerro en la margarina fundida procurando que no se queme. Luego, agrega la cantidad de agua y sigue cocinando la crema de ajoporro casera.', '3\nAñade el ajo pelado y triturado, y deja la preparación al fuego hasta que el ajoporro esté blando.', '4\nUna vez blando el puerro, licua la preparación para obtener una crema de ajoporro suave, homogénea y sin grumos.', '5\nVierte la leche y la harina, y sigue batiendo para integrar completamente estos ingredientes.', '6\nVuelve a poner al fuego la crema de ajoporro para espesarla, añade el cubo de consomé de pollo, mezcla y deja que se cocine unos segundos.', '7\nSirve la crema de ajoporro casera de inmediato para disfrutarla caliente. Puedes servirla acompañada de picatostes (pan tostado) o dejar caer un hilo de crema de leche. Esta receta es perfecta para cualquier época del año y momento del día, puesto que es muy fácil de hacer, rápida y está deliciosa. Y si quieres descubrir otras variedades, no te pierdas la receta de crema de puerro y calabacín.']","Valoración: 4,2 (40 votos)",4 comensales,45m,Entrante,Dificultad baja,,[],"['2 sobres de ajoporro (puerro)', '1 diente de ajo', '2 cucharadas soperas de harina de trigo', '4 cucharadas soperas de leche en polvo', '1 cubo de caldo de pollo (consomé)', '1 cucharada sopera de margarina', '1 pizca de pimienta (opcional)', '4 tazas de agua (960 mililitros)']",https://www.recetasgratis.net/receta-de-crema-de-ajoporro-10558.html
Sopa de hombre latino,,"['1\nAbra los huequitos de los cocos con un destornillador y vierta el agua de coco en un taza de medir y pongala aparte.', '2\nDebe dar 2 tazas de agua de coco.', '3\nCaliente el aceite a fuego mediano en una olla grande Agregue la cebolla, el pimiento rojo, el ajo,1/2 cucharadita de la pimienta roja .', '4\nFria durante 5 minutos o hasta que la cebolla este suave y translucida pero no dorada.', '5\nSuba el fuego a mediano-alto y agregue el tomate y 1/4 taza de perejil y los dos sobrecitos de sazonador con color.', '6\nFria durante 3 minutos Agregue la pasta de tomate y fria durante 3 minutos.', '7\nAgregue el agua y la leche de coco, el caldo de pescado o el jugo de almendras y agua, la hoja de laurel y el platano.', '8\nDeje que rompa a hervir y cocine durante 3 minutos.', '9\nAgregue la taza de cangrejos y cocine durante 5 minutos.', '10\nAgregue las almejas o los mejillones y cocine durante 5 minutos Agregue el camaron, el pescado o el bacalao desmenuzado y lavado y el pan rallado.', '11\nSazone con sal y pimienta Cocine durante 5 minutos o hasta que elplatano este suave y el caldo se haya espesado un poco.', '12\nTire las almejas o mejillones que sigan cerrados o quebrados.', '13\nAgregue el 1/4 taza restante de perejil y hierva durante un minuto .', '14\nSazone con mas sal y pimienta si asi lo desea.', '15\nEsta receta es para aquellos latinos que trabajan mucho y para recargar su cuerpo.', '16\nY levanta el animo.']","Valoración: 3,7 (20 votos)",,,,,,,"['4 cocos maduros', '1 cucharada de aceite de canola', '1 cebolla,picada muy fina', '1 pimiento rojo picado nuy fino (AJI)', '2 dientes de ajo picados muy finos', '3/4 cucharadita de pimienta roja molida', '2 tomates maduros sin semilla, pelados y picados muy finos', '1/2 taza de perejil; liso fresco,picado muy fino', '1/4 taza de pasta de tomates', '1 taza de leche coco ligera (puede usarla leche de coco enlatada)', '5 tazas de caldo de pescado o 4 tazas de jugo de almeja embotellado. una taza de agua)', '1 hoja de laurel', '1 platano verde (macho) pelado y picado en pedazos pequeños', '1 taza de carne de cangrejo precocinado', '16 almejas o mejillones pequeños lavados', '1 libra de camaron, pelado y desvanado (puede usar los congelados)', '2 libras de filete de lubina(robalo, corvina)o bacalao fresco .', '1/2 taza de pan rallado(pan molido fresco, tostado)', 'sal', 'pimienta negra molida', '2 sobrecitos de sasonador con color']",https://www.recetasgratis.net/receta-de-sopa-de-hombre-latino-10409.html
Sopa crema de cebollas,,"['1\nDorar la cebolla en la manteca agregar y mezclar revolviendo la harina, la 1/2 cucharadita de sal e ir agregando gradualmente la leche.', '2\nHervir lentamente hasta que las cebollas esten tiernas.', '3\nCondimentar con la paprika nuez moscada y la sal a gusto.', '4\nAl servir espolvorear con el queso rallado y el peregil.']","Valoración: 4,1 (17 votos)",,,,,,,"['1y 1/2 taza de cebollas', '3 cucharadas de manteca', '1 cucharada de harina', '1/2 cucharadita de sal', '1 litro de leche paprica nuez moscada una cucharadita de queso rallado y una cucharadita de peregil picad']",https://www.recetasgratis.net/receta-de-sopa-crema-de-cebollas-10341.html
Sopa de crema de hongos,,"['1\nCocinar a fuego lento hasta que esten tiernos la taza de hongos en media taza de agua picar los hongos y agregar las 2 tazas de agua hirviendo.', '2\nPreparar una salsa blanca con las 2 cucharadas de manteca la harina la leche y la sal agregar los hongos y el caldo a la salsa blanca revolviendo suavemente y servir con peregil picado.']",Valoración: 4 (51 votos),,,,,,,"['1 taza de hongos', '1/2 taza de agua 2 tazas de agua hirviendo', '2 cucharadas de manteca', '2 cucharadas de harina', '2 tazas de leche', '1 cucharadita de sal']",https://www.recetasgratis.net/receta-de-sopa-de-crema-de-hongos-10339.html
Sopa rápida de atún,,"['1\nEn una cacerola con el aceite rehogamos la cebolla finamente picada.', '2\nAntes de que se dore, añadimos los ajos picaditos.', '3\nDejamos dos minutos y añadimos el atún -escurrido de su aceite-', '4\nAñadimos el tomate frito. Removemos bien y dejamos cocer todo junto 5 m.', '5\nFinalmente agregamos 1 litro de agua, el perejil, y la sal. Dejamos cocer 20 minutos.', '6\nEsta sopa se puede tomar acompañada de pan frito, o bien, antes de terminar la cocción añadimos la pasta que queramos (fideos, coditos...)']","Valoración: 3,5 (19 votos)",,,,,,,"['2 latas de Atún en aceite (de las pequeñas)', '1 unidad de Cebolla', '3 dientes de Ajo', '1 pizca de Perejil', '2 cucharadas soperas de Salsa de tomate', '1 litro de Agua', '1 pizca de Sal', '4 cucharadas soperas de Aceite', '1 barra de Pan']",https://www.recetasgratis.net/receta-de-sopa-rapida-de-atun-10299.html
Consome al jerez,,"['1\nPoner una olla al fuego y echar el hueso, la carne de ternera, la de gallina, la zanahoria, pelada y cortada en dos o tres trozos, el apio limpio y cortado, la cebolla, pelada y cortada en dos, unos granos de pimienta y la sal.', '2\nCubrir todo con abundante agua fría.', '3\nMantener la olla destapada y cuando empiece a hervir, bajar el fuego y dejar cocer a fuego lento unas tres horas, desespumando de vez en cuando.', '4\nCuando el caldo esté hecho, retirar del fuego y colar el caldo a través de un colador fino.', '5\nMeter el caldo colado en el frigorífico durante unas horas.', '6\nSacar el caldo frío del frigorífico y quitarle la grasa que se habrá acumulado en la superficie.', '7\nPonerlo en una cazuela al fuego y añadir dos claras de huevo batidas.', '8\nMezclar bien con un batidor de varillas mientras se va calentando, cuando rompa a hervir, apartar del fuego, sacar toda la espuma con una espumadera y colar el caldo a través de un paño húmedo, colocado sobre un colador fino.', '9\nRectificar de sal.', '10\nPoner una sartén al fuego, con un poco de aceite y freir el pan, cortado en daditos.']","Valoración: 4,1 (36 votos)",,,,,,,"['300 gramos de carne de ternera.', '1/2 gallina.', '1 cebolla.', '1 rama de apio.', '1 zanahoria.', '1 hueso de ternera.', '1 hueso de cerdo salado blanco.', '1/2 vaso de vino fino de Jerez', '2 huevos cocidos.', '2 claras de huevo.', '50 gramos de jamón, cortado a taquitos.', '2 rebanadas de pan.', 'Pimienta negra en grano.', 'Sal.']",https://www.recetasgratis.net/receta-de-consome-al-jerez-10063.html
Sopa de almendras el ajo blanco,,"['1\nPoner un cazo con agua al fuego y cuando empiece a hervir, echar las almendras y mantenerlas 2 ó 3 minutos, sacarlas del agua, pelarlas y reservarlas.', '2\nRemojar la miga de pan con un poco de agua.', '3\nEn un mortero, almirez o dornillo, echar la sal y los ajos y majar bien con la maza.', '4\nCuando los ajos estén bien majados, agregar las almendras y seguir majando y removiendo, hasta conseguir una pasta homogénea.', '5\nEntonces echar la miga del pan y seguir con el majado constante, sin descanso.', '6\nCuando todo esté bien mezclado ir añadiendo el aceite, muy poco a poco, en chorrillo fino, mientras se sigue mezclando con la maza, hasta que el aceite se incorpore a la masa.', '7\nAñadir entonces, también poco a poco y sin dejar de majar, el vinagre hasta conseguir una salsa espesa, de aspecto muy similar al de la mayonesa.', '8\nPasar la pasta a una sopera e ir agregando el agua, poco a poco, de forma que la pasta se vaya aclarando.', '9\nCuando se logre la textura deseada, probar de sal y rectificar si fuera necesario, entonces colocar la sopera en el frigorífico hasta la hora de servir.']","Valoración: 3,4 (16 votos)",,,,,,,"['200 gramos de almendras crudas', '200 gramos de pan de pueblo, asentado, del día anterior', '2 dientes de ajo', '1 vaso de aceite de oliva', '1 cucharada de vinagre', '1 litro de agua bien fría', 'Sal', 'Para los tropezones', '1/4 de kilo de uva de moscatel, peladas y sin semillas', 'o', '2 tajadas de melón, cortadas en daditos pequeños', 'o', '1 manzana, pelada y cortada en daditos pequeños']",https://www.recetasgratis.net/receta-de-sopa-de-almendras-el-ajo-blanco-10061.html
Mi gazpachuelo,,"['1\nEsta era una comida típica de los pescadores malagueños. En su confección primitiva el gazpachuelo se preparaba a base de aceite de oliva y yema de huevo batido.', '2\nTodo como una mayonesa que se diluía con caldo de pescado y se aliñaba con un poco de vinagre o bien, unas gotas de limón o de naranja amarga.', '3\nComo tropezones se usaba la clara del huevo, cocida y cortada en taquitos, unas rebanaditas de pan y unas patatas también cocidas y troceadas.', '4\nEste gazpacho se comía caliente y era más propio de los meses de invierno.', '5\nPreparar una mayonesa bien espesa.', '6\nPara preparar el caldo poner el pescado en una olla, cubrirlo bien con abundante agua y añadir la cebolla y el tomate cortados en gajos, el laurel, el vino y un chorrito de aceite.', '7\nPoner la cazuela al fuego y cuando comience a hervir dejarlo unos 20 minutos y retirar del fuego. Colar el caldo y reservar.', '8\nEn otra cazuela, poner las patatas, cortadas en rodajas no muy finas (½ centímetro) y cubrirlas con el caldo de pescado. Poner la cazuela al fuego y dejar cocer hasta que estén tiernas.', '9\nEntonces sacar las patatas, reservarlas y colar el caldo y reservarlo también.', '10\nPoner en el horno unas rebanaditas de pan, bien finas (3 a 4 por persona) y sacarlas cuando estén tostadas.', '11\nYa tenemos todos los ingredientes y entonces podemos preparar el plato. Poner la mayonesa en una sopera y añadir el caldo, poco a poco, moviéndolo todo muy bien con una cuchara de palo.', '12\nCuando la mayonesa esté bien disuelta, añadir las patatas, probar de sal y ya se puede servir.']","Valoración: 3,7 (12 votos)",,,,,,,"['Para el caldo', '1/2 kilo de pescados pequeños, para hacer caldo (*)', '2 hojas de laurel', '1 cebolla', '1 tomate', '1 copa de vino blanco', 'Sal', 'Para el Plato', '3/4 de kilo de patatas', '6 cucharadas soperas de mayonesa', '3-4 rebanadas de pan por persona']",https://www.recetasgratis.net/receta-de-mi-gazpachuelo-10062.html
Gazpacho andaluz sin pan,"Te presentamos esta receta de gazpacho sin pan, pues hemos comprobado que de esta forma podemos conservar el gazpacho tradicional andaluz más tiempo, ya que la levadura del mismo hace que en pocos días se produzca una cierta fermentación que deja el gazpacho agrio. Asimismo, no te pierdas esta receta de gazpacho fácil que te ofrecemos. Además, debes saber que el gazpacho tiene muchas variaciones, por ejemplo, se puede añadir o eliminar cualquier ingrediente que no guste. Por otro lado, se pueden incluir frutas para hacerlo refrescante y saludable.En RecetasGratis te enseñamos cómo hacer gazpacho andaluz sin pan. ¡A cocinar!","['1\nPara empezar con la receta de gazpacho andaluz sin pan, primero debes lavar las verduras. A continuación, pela los tomates y córtalos en trozos. Colócalos en un bol o en un robot de cocina para triturar todo.\nTruco: si te gusta puedes dejar la piel del tomate, ya que deberás triturar todo.', '2\nTrocea la cebolla, el pimiento verde, el pepino y el pimiento rojo. También pela los dientes de ajo.', '3\nEn el bol añade todas las verduras troceadas junto con los tomates.', '4\nYa están listos los ingredientes para triturarlos. Asimismo, para que sea más fácil añade un vaso de agua fría y tritura hasta que quede toda la mezcla sin grumos. Si tienes un robot de cocina puedes triturar todo, ya que quedará la crema más fina.\nTruco: según quede el gazpacho, podrás añadir más agua o no.', '5\nAñade el aceite, el vinagre y un poco de sal, sigue triturando y deja que se emulsione la crema. Prueba y rectifica según el gusto de sal y vinagre.\nTruco: si lo deseas, puedes añadir más pimiento verde o pepino.', '6\nIntroduce el gazpacho en la nevera hasta la hora de servir, es mejor hacerlo 2-3 horas antes para que a la hora de comer esté bien frío. Para acompañar el gazpacho si te gusta que tenga tropezones, puedes picar un pepino en trocitos, pimiento verde, cebolla y servir en otro bol para que cada comensal se prepare el plato a su gusto.']","Valoración: 4,4 (47 votos)",5 comensales,15m,Entrante,Dificultad baja,,"['Recomendada para perder peso', 'Recetas españolas', 'Recetas andaluzas']","['1 kilogramo de tomates rojos maduros', '1 pimientos verdes', '2 dientes de ajo', '1 pepino pequeño', '1 cebolla', '4 cucharadas soperas de vinagre de vino', '1 cucharada postre de sal', '50 mililitros de aceite de oliva', '1 trozo de pimiento rojo (opcional)']",https://www.recetasgratis.net/receta-de-gazpacho-andaluz-sin-pan-10060.html
Sarmorejo,,"['1\nSacar la miga del pan, remojarla en agua y cuando esté bien remojada, sacarla y exprimirla bien.', '2\nLa forma clásica de hacerlo es en mortero o dornillo (especie de mortero de madera) y en caso de querer hacerlo así, colocar en el mortero primero la sal, luego los ajos pelados.', '3\nIr majando con la maza para que los ajos se rompan bien, añadir después los tomates, cortados a tacos y seguir majando, añadir el pan y el vinagre.', '4\nSin dejar de majar ir añadiendo poco a poco el aceite hasta conseguir una buena mezcla, entonces pasarlo por el pasapurés (chino).', '5\nSi por el contrario optáis por la forma más moderna, poner en el vaso de la batidora el aceite, el pan, los tomates, los ajos pelados, el vinagre y la sal.', '6\nBatir durante unos minutos, hasta conseguir una mezcla homogénea. Pasar a través del pasapurés, para quitar las pieles y las pepitas del tomate.', '7\nAñadir agua muy fría hasta conseguir la textura deseada y rectificar de sal.']","Valoración: 3,3 (15 votos)",,,,,,,"['1 kilo de pan del día anterior', '1 vaso de aceite de oliva', '3/4 kilo de tomates maduros', '2 dientes de ajo', '1 copita de vinagre de vino', 'Sal al gusto']",https://www.recetasgratis.net/receta-de-sarmorejo-10058.html
Gazpacho andaluz y sevillano,,"['1\nSe ponen en una batidora todos los ingredientes y se baten bien hasta obtener una masa homogenea, luego si quieres lo pasas por un tamiz y se le pone un poco de agua (uno o dos vasos)', '2\nSe sirve muy frio. Se le puede poner de guarnicion trocitos de huevos duros y de jamon serrano.']","Valoración: 3,3 (15 votos)",,,,,,,"['1 kg de tomates rojos', '1 pimiento', '1 pepino', '1 diente de ajo', '1 cucharadita de sal', '1/2 vaso de aceite de oliva virgen', '2 cucharadas de vinagre', '50 gramos de pan']",https://www.recetasgratis.net/receta-de-gazpacho-andaluz-y-sevillano-9991.html
Crema permentier,,"['1\n1. Derrita la mantequilla en una cacerola y sancoche en ella las papas y el poro. Agregueles 5 tazas de agua,el consome y la pimienta,y deje que se cuezan hasta que las papas esten casi deshechas.', '2\n2. Ponga en baÑo maria la sopera donde va a servir la crema.Cuele a la sopera todo lo que ha cocido.', '3\n3. Deje la sopa en el baÑo maria hasta el momento de llevarla a la mesa,cuando debera aÑadirle la crema y servirla acompaÑada de los cuadritos de pan.']","Valoración: 3,3 (15 votos)",,,,,,,"['3 papas blancas grandes peladas y cortadas en trozos', '1 poro mediano,cortado en rodajas', '1/2 barrita de mantequilla', 'Una pizca de pimienta blanco molida', '2 cucharaditas de consome de pollo granulado', '1/4 litro de crema espesa', '3 rebanadas de pan de caja descortezadas y cortadas en cuadritos, tostados o fritos']",https://www.recetasgratis.net/receta-de-crema-permentier-9961.html
